weather,occasion,clothing_item,color,material,characterization
sunny,casual,t-shirt,red,cotton,torso
sunny,formal,shorts,blue,polyester,legs
rainy,casual,raincoat,yellow,nylon,overshirt
rainy,formal,umbrella,black,plastic,accessory
cloudy,casual,sweater,grey,wool,torso
cloudy,formal,jacket,navy,leather,overshirt
snowy,casual,hoodie,white,fleece,torso
snowy,formal,overcoat,black,wool,overshirt
windy,casual,windbreaker,green,nylon,overshirt
windy,formal,scarf,red,wool,accessory
sunny,casual,shorts,khaki,cotton,legs
rainy,casual,boots,brown,leather,feet
cloudy,formal,gloves,black,leather,hands
snowy,casual,beanie,grey,wool,accessory
windy,formal,trench coat,beige,cotton,overshirt
sunny,casual,sandals,white,rubber,feet
rainy,formal,hat,black,felt,accessory
cloudy,casual,jeans,blue,denim,legs
snowy,formal,suit,black,wool,torso
windy,casual,cap,blue,cotton,accessory
sunny,formal,dress,yellow,silk,torso
rainy,casual,poncho,green,plastic,overshirt
cloudy,formal,blazer,grey,wool,overshirt
snowy,casual,socks,white,cotton,feet
windy,formal,gloves,black,leather,hands